age|int,year|int,rate|float
18,2023,0.36414
19,2023,0.38437
20,2023,0.4046
21,2023,0.42483
22,2023,0.44506
23,2023,0.46529
24,2023,0.48552
25,2023,0.50575
26,2023,0.52598
27,2023,0.54621
28,2023,0.56644
29,2023,0.58667
30,2023,0.6069
18,2024,0.36432
19,2024,0.38456
20,2024,0.4048
21,2024,0.42504
22,2024,0.44528
23,2024,0.46552
24,2024,0.48576
25,2024,0.506
26,2024,0.52624
27,2024,0.54648
28,2024,0.56672
29,2024,0.58696
30,2024,0.6072
18,2025,0.3645
19,2025,0.38475
20,2025,0.405
21,2025,0.42525
22,2025,0.4455
23,2025,0.46575
24,2025,0.486
25,2025,0.50625
26,2025,0.5265
27,2025,0.54675
28,2025,0.567
29,2025,0.58725
30,2025,0.6075
18,2026,0.36468
19,2026,0.38494
20,2026,0.4052
21,2026,0.42546
22,2026,0.44572
23,2026,0.46598
24,2026,0.48624
25,2026,0.5065
26,2026,0.52676
27,2026,0.54702
28,2026,0.56728
29,2026,0.58754
30,2026,0.6078
18,2027,0.36486
19,2027,0.38513
20,2027,0.4054
21,2027,0.42567
22,2027,0.44594
23,2027,0.46621
24,2027,0.48648
25,2027,0.50675
26,2027,0.52702
27,2027,0.54729
28,2027,0.56756
29,2027,0.58783
30,2027,0.6081
18,2028,0.36504
19,2028,0.38532
20,2028,0.4056
21,2028,0.42588
22,2028,0.44616
23,2028,0.46644
24,2028,0.48672
25,2028,0.507
26,2028,0.52728
27,2028,0.54756
28,2028,0.56784
29,2028,0.58812
30,2028,0.6084
18,2029,0.36522
19,2029,0.38551
20,2029,0.4058
21,2029,0.42609
22,2029,0.44638
23,2029,0.46667
24,2029,0.48696
25,2029,0.50725
26,2029,0.52754
27,2029,0.54783
28,2029,0.56812
29,2029,0.58841
30,2029,0.6087
18,2030,0.3654
19,2030,0.3857
20,2030,0.406
21,2030,0.4263
22,2030,0.4466
23,2030,0.4669
24,2030,0.4872
25,2030,0.5075
26,2030,0.5278
27,2030,0.5481
28,2030,0.5684
29,2030,0.5887
30,2030,0.609
18,2031,0.36558
19,2031,0.38589
20,2031,0.4062
21,2031,0.42651
22,2031,0.44682
23,2031,0.46713
24,2031,0.48744
25,2031,0.50775
26,2031,0.52806
27,2031,0.54837
28,2031,0.56868
29,2031,0.58899
30,2031,0.6093
18,2032,0.36576
19,2032,0.38608
20,2032,0.4064
21,2032,0.42672
22,2032,0.44704
23,2032,0.46736
24,2032,0.48768
25,2032,0.508
26,2032,0.52832
27,2032,0.54864
28,2032,0.56896
29,2032,0.58928
30,2032,0.6096
18,2033,0.36594
19,2033,0.38627
20,2033,0.4066
21,2033,0.42693
22,2033,0.44726
23,2033,0.46759
24,2033,0.48792
25,2033,0.50825
26,2033,0.52858
27,2033,0.54891
28,2033,0.56924
29,2033,0.58957
30,2033,0.6099
18,2034,0.36612
19,2034,0.38646
20,2034,0.4068
21,2034,0.42714
22,2034,0.44748
23,2034,0.46782
24,2034,0.48816
25,2034,0.5085
26,2034,0.52884
27,2034,0.54918
28,2034,0.56952
29,2034,0.58986
30,2034,0.6102
18,2035,0.3663
19,2035,0.38665
20,2035,0.407
21,2035,0.42735
22,2035,0.4477
23,2035,0.46805
24,2035,0.4884
25,2035,0.50875
26,2035,0.5291
27,2035,0.54945
28,2035,0.5698
29,2035,0.59015
30,2035,0.6105
18,2036,0.36648
19,2036,0.38684
20,2036,0.4072
21,2036,0.42756
22,2036,0.44792
23,2036,0.46828
24,2036,0.48864
25,2036,0.509
26,2036,0.52936
27,2036,0.54972
28,2036,0.57008
29,2036,0.59044
30,2036,0.6108
18,2037,0.36666
19,2037,0.38703
20,2037,0.4074
21,2037,0.42777
22,2037,0.44814
23,2037,0.46851
24,2037,0.48888
25,2037,0.50925
26,2037,0.52962
27,2037,0.54999
28,2037,0.57036
29,2037,0.59073
30,2037,0.6111
18,2038,0.36684
19,2038,0.38722
20,2038,0.4076
21,2038,0.42798
22,2038,0.44836
23,2038,0.46874
24,2038,0.48912
25,2038,0.5095
26,2038,0.52988
27,2038,0.55026
28,2038,0.57064
29,2038,0.59102
30,2038,0.6114
18,2039,0.36702
19,2039,0.38741
20,2039,0.4078
21,2039,0.42819
22,2039,0.44858
23,2039,0.46897
24,2039,0.48936
25,2039,0.50975
26,2039,0.53014
27,2039,0.55053
28,2039,0.57092
29,2039,0.59131
30,2039,0.6117
18,2040,0.3672
19,2040,0.3876
20,2040,0.408
21,2040,0.4284
22,2040,0.4488
23,2040,0.4692
24,2040,0.4896
25,2040,0.51
26,2040,0.5304
27,2040,0.5508
28,2040,0.5712
29,2040,0.5916
30,2040,0.612
18,2041,0.36738
19,2041,0.38779
20,2041,0.4082
21,2041,0.42861
22,2041,0.44902
23,2041,0.46943
24,2041,0.48984
25,2041,0.51025
26,2041,0.53066
27,2041,0.55107
28,2041,0.57148
29,2041,0.59189
30,2041,0.6123
18,2042,0.36756
19,2042,0.38798
20,2042,0.4084
21,2042,0.42882
22,2042,0.44924
23,2042,0.46966
24,2042,0.49008
25,2042,0.5105
26,2042,0.53092
27,2042,0.55134
28,2042,0.57176
29,2042,0.59218
30,2042,0.6126
18,2043,0.36774
19,2043,0.38817
20,2043,0.4086
21,2043,0.42903
22,2043,0.44946
23,2043,0.46989
24,2043,0.49032
25,2043,0.51075
26,2043,0.53118
27,2043,0.55161
28,2043,0.57204
29,2043,0.59247
30,2043,0.6129
