mp_num,init_age,initial_pols_if,sum_assured
0,20,1.0,123744.0
1,49,1.0,62160.0
2,27,1.0,25063.0
3,36,1.0,10894.0
4,50,1.0,87941.0
5,37,1.0,151487.0
6,25,1.0,119255.0
7,56,1.0,82425.0
8,56,1.0,247888.0
9,26,1.0,235486.0
10,35,1.0,40157.0
11,33,1.0,109626.0
12,56,1.0,165723.0
13,60,1.0,186038.0
14,59,1.0,97929.0
15,71,1.0,189108.0
16,62,1.0,39796.0
17,37,1.0,89635.0
18,25,1.0,181944.0
19,53,1.0,160164.0
20,70,1.0,210930.0
21,73,1.0,21246.0
22,32,1.0,51854.0
23,33,1.0,21639.0
24,22,1.0,56107.0
25,27,1.0,11028.0
26,50,1.0,131010.0
27,50,1.0,136795.0
28,40,1.0,167894.0
29,37,1.0,102379.0
30,65,1.0,10770.0
31,45,1.0,171734.0
32,64,1.0,23030.0
33,72,1.0,217881.0
34,37,1.0,15437.0
35,31,1.0,137314.0
36,72,1.0,224780.0
37,54,1.0,147397.0
38,36,1.0,156020.0
39,54,1.0,173587.0
40,48,1.0,39378.0
41,69,1.0,171983.0
42,34,1.0,221285.0
43,74,1.0,243813.0
44,71,1.0,116332.0
45,29,1.0,92681.0
46,29,1.0,190794.0
47,49,1.0,140290.0
48,22,1.0,71753.0
49,36,1.0,51318.0
50,43,1.0,50855.0
51,73,1.0,120202.0
52,74,1.0,50830.0
53,28,1.0,14733.0
54,69,1.0,22501.0
55,25,1.0,233172.0
56,61,1.0,27511.0
57,66,1.0,27563.0
58,68,1.0,118285.0
59,32,1.0,68824.0
60,69,1.0,241047.0
61,26,1.0,228637.0
62,48,1.0,107138.0
63,45,1.0,117696.0
64,37,1.0,100027.0
65,21,1.0,19088.0
66,62,1.0,80283.0
67,38,1.0,39442.0
68,56,1.0,34569.0
69,42,1.0,144607.0
70,40,1.0,33704.0
71,68,1.0,34704.0
72,25,1.0,125323.0
73,60,1.0,116148.0
74,61,1.0,43032.0
75,40,1.0,11068.0
76,34,1.0,56314.0
77,20,1.0,66614.0
78,71,1.0,202060.0
79,72,1.0,229705.0
80,33,1.0,107427.0
81,21,1.0,107206.0
82,26,1.0,180996.0
83,23,1.0,160461.0
84,65,1.0,54194.0
85,69,1.0,35845.0
86,28,1.0,115027.0
87,61,1.0,145559.0
88,29,1.0,43290.0
89,40,1.0,80386.0
90,52,1.0,83426.0
91,59,1.0,72712.0
92,68,1.0,120583.0
93,22,1.0,166735.0
94,30,1.0,132254.0
95,35,1.0,58350.0
96,37,1.0,34705.0
97,74,1.0,207249.0
98,62,1.0,125033.0
99,37,1.0,24913.0
100,73,1.0,71949.0
101,47,1.0,202968.0
102,47,1.0,190414.0
103,43,1.0,220196.0
104,27,1.0,154501.0
105,71,1.0,111497.0
106,20,1.0,112392.0
107,29,1.0,56560.0
108,32,1.0,166192.0
109,35,1.0,150417.0
110,27,1.0,47167.0
111,20,1.0,222559.0
112,57,1.0,98432.0
113,73,1.0,21937.0
114,26,1.0,88691.0
115,36,1.0,218766.0
116,47,1.0,230070.0
117,71,1.0,127696.0
118,58,1.0,239522.0
119,62,1.0,220058.0
120,51,1.0,208055.0
121,42,1.0,216330.0
122,30,1.0,101650.0
123,67,1.0,191553.0
124,64,1.0,148561.0
125,21,1.0,182724.0
126,59,1.0,52669.0
127,24,1.0,185535.0
128,60,1.0,239822.0
129,65,1.0,82639.0
130,27,1.0,246679.0
131,43,1.0,100810.0
132,26,1.0,57934.0
133,51,1.0,36949.0
134,71,1.0,198391.0
135,24,1.0,143158.0
136,41,1.0,83712.0
137,73,1.0,156028.0
138,36,1.0,89704.0
139,27,1.0,117606.0
140,46,1.0,217039.0
141,47,1.0,170360.0
142,56,1.0,192976.0
143,37,1.0,150038.0
144,72,1.0,247936.0
145,48,1.0,67938.0
146,35,1.0,72950.0
147,72,1.0,32214.0
148,70,1.0,142965.0
149,47,1.0,157206.0
150,21,1.0,184231.0
151,52,1.0,90507.0
152,50,1.0,12942.0
153,28,1.0,161735.0
154,54,1.0,249687.0
155,66,1.0,80692.0
156,25,1.0,54144.0
157,59,1.0,77624.0
158,27,1.0,112100.0
159,61,1.0,70219.0
160,43,1.0,93270.0
161,20,1.0,163170.0
162,73,1.0,92807.0
163,29,1.0,105054.0
164,52,1.0,19608.0
165,29,1.0,230306.0
166,71,1.0,107653.0
167,60,1.0,88754.0
168,64,1.0,30756.0
169,43,1.0,162204.0
170,45,1.0,217318.0
171,54,1.0,19877.0
172,63,1.0,44865.0
173,66,1.0,45134.0
174,20,1.0,154546.0
175,56,1.0,231095.0
176,26,1.0,115064.0
177,35,1.0,92514.0
178,65,1.0,193802.0
179,33,1.0,188217.0
180,63,1.0,69221.0
181,45,1.0,48598.0
182,32,1.0,95874.0
183,38,1.0,196145.0
184,49,1.0,176815.0
185,62,1.0,169805.0
186,53,1.0,209063.0
187,71,1.0,76511.0
188,67,1.0,91524.0
189,61,1.0,20161.0
190,53,1.0,218499.0
191,35,1.0,149783.0
192,42,1.0,81549.0
193,26,1.0,26660.0
194,40,1.0,183618.0
195,70,1.0,189697.0
196,43,1.0,169883.0
197,26,1.0,58907.0
198,55,1.0,229172.0
199,72,1.0,190758.0
200,67,1.0,167862.0
201,35,1.0,166227.0
202,44,1.0,227046.0
203,49,1.0,232794.0
204,33,1.0,152953.0
205,34,1.0,110001.0
206,33,1.0,97296.0
207,74,1.0,206579.0
208,61,1.0,164705.0
209,66,1.0,28544.0
210,64,1.0,44125.0
211,72,1.0,226045.0
212,25,1.0,222280.0
213,68,1.0,238440.0
214,23,1.0,112684.0
215,46,1.0,198175.0
216,52,1.0,208774.0
217,39,1.0,85767.0
218,28,1.0,44881.0
219,30,1.0,249286.0
220,65,1.0,17253.0
221,37,1.0,153361.0
222,37,1.0,166051.0
223,70,1.0,173629.0
224,27,1.0,71351.0
225,70,1.0,183179.0
226,70,1.0,61936.0
227,52,1.0,208969.0
228,29,1.0,62588.0
229,28,1.0,177209.0
230,35,1.0,198019.0
231,51,1.0,55347.0
232,28,1.0,67117.0
233,45,1.0,196985.0
234,26,1.0,30640.0
235,49,1.0,55783.0
236,21,1.0,119327.0
237,58,1.0,233244.0
238,23,1.0,144851.0
239,30,1.0,103043.0
240,29,1.0,244809.0
241,65,1.0,121291.0
242,22,1.0,114096.0
243,43,1.0,108795.0
244,52,1.0,84923.0
245,48,1.0,88167.0
246,57,1.0,175081.0
247,64,1.0,19801.0
248,41,1.0,173636.0
249,65,1.0,58289.0
250,37,1.0,102210.0
251,74,1.0,45169.0
252,47,1.0,142660.0
253,60,1.0,185044.0
254,68,1.0,95117.0
255,63,1.0,49220.0
256,66,1.0,64361.0
257,49,1.0,206347.0
258,22,1.0,74236.0
259,47,1.0,195929.0
260,29,1.0,89488.0
261,68,1.0,55296.0
262,33,1.0,184554.0
263,32,1.0,122451.0
264,33,1.0,17507.0
265,55,1.0,240386.0
266,51,1.0,45461.0
267,72,1.0,94818.0
268,42,1.0,102351.0
269,35,1.0,127463.0
270,22,1.0,198507.0
271,20,1.0,11462.0
272,40,1.0,233793.0
273,70,1.0,165037.0
274,48,1.0,238156.0
275,69,1.0,206173.0
276,25,1.0,232681.0
277,25,1.0,154240.0
278,65,1.0,95754.0
279,25,1.0,116299.0
280,22,1.0,167928.0
281,42,1.0,112464.0
282,70,1.0,185601.0
283,57,1.0,32044.0
284,25,1.0,209197.0
285,66,1.0,59005.0
286,66,1.0,236547.0
287,64,1.0,47331.0
288,69,1.0,40999.0
289,33,1.0,204850.0
290,73,1.0,206488.0
291,37,1.0,187302.0
292,64,1.0,240527.0
293,51,1.0,74930.0
294,62,1.0,208396.0
295,54,1.0,94490.0
296,55,1.0,138976.0
297,53,1.0,116944.0
298,62,1.0,11404.0
299,60,1.0,147871.0
300,27,1.0,189401.0
301,65,1.0,51893.0
302,49,1.0,233597.0
303,37,1.0,137296.0
304,48,1.0,52779.0
305,73,1.0,165027.0
306,67,1.0,56061.0
307,65,1.0,25248.0
